review,sentiment
Not worth the money,Negative
Worst product ever,Negative
Very poor quality,Negative
Completely disappointed,Negative
Battery drains quickly,Negative
Not worth the money,Negative
Worst product ever,Negative
Very poor quality,Negative
Completely disappointed,Negative
Battery drains quickly,Negative
Not worth the money,Negative
Worst product ever,Negative
Very poor quality,Negative
Completely disappointed,Negative
Battery drains quickly,Negative
Not worth the money,Negative
Worst product ever,Negative
Very poor quality,Negative
Completely disappointed,Negative
Battery drains quickly,Negative
Not worth the money,Negative
Worst product ever,Negative
Very poor quality,Negative
Completely disappointed,Negative
Battery drains quickly,Negative
Not worth the money,Negative
Worst product ever,Negative
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
The product is okay,Neutral
Average performance,Neutral
Nothing special,Neutral
Works as expected,Neutral
Decent product,Neutral
